Climb name,Grade,Style,Partner(s),Notes,Date,Crag name,Grade Type,Grade System,Country
Martial Music,7a  **,Lead RP,"JayAyBee, Daniel Grout","Got the clips in, after a bit of a shock on the initial hard moves. Then found decent but tenuous rockover beta for the high roof. Fell off on my 1st redpoint burn as I fluffed up the transition from the good jug under the roof to the flake, to then pull over the roof. Got it 3rd go as beta was completely dialled by then.",07/Jun/20,Chee Dale Lower,Sport,French,England
War Memorial,6c  *,Lead O/S,JayAyBee,On James's draws. Good warm-up and nice standalone route!,06/Jun/20,Chee Dale Lower,Sport,French,England
Armistice Day,7a+  **,Lead dog,JayAyBee,"Went for a convincing flash attempt and got the crux straight away, only to fall off whilst misreading the thin top headwall. Had two further burns and fell off at the same place. Frustrating and hopefully not a sign of deterioration of my injury. Hope to get this soon when fresh.",06/Jun/20,Chee Dale Lower,Sport,French,England
Whose Line is it Anyway?,7a+  ***,Lead RP,DavidMcK,"Pretty cool route. 3rd go. Lowered from 3/4 height on 1st go, putting clips in as far as my elbows could bear. Worked the higher crux and put the remaining clips in on 2nd go. Rested and then finally went for the redpoint. This was close, even with the mid-height kneebar. Found myself desperately snatching and catching the finishing jug, despite that I was probably falling off as I did so. Great to push a bit harder after the initial post-lockdown shock. Joy slightly tempered by achey elbows once down. 
",04/Jun/20,Chee Dale Lower,Sport,French,England
The Rib,V4  *,Sent x,Daniel Grout,"Fierce reintroduction to limestone bouldering and how weak I am, post-injury.",29/May/20,Raven Tor (Miller's Dale),Bouldering,Font,England
Verbal Abuse Start,V3+  **,Sent x,Daniel Grout,"Cool problem, hard to get into the undercut.",29/May/20,Raven Tor (Miller's Dale),Bouldering,Font,England
Clarion Call,7a  ***,Lead RP,Daniel Grout,First lead climbing in about 4 months. Felt pretty weak but scraped through on 2nd go/ first redpoint. Great day out and an awesome introduction to Cheedale with Dan.,24/May/20,Chee Dale Lower,Sport,French,England
Traverse of Man,V3  *,Sent β,,Awesome! First experience of getting vaguely pumped after lockdown. Psyched for roped stuff now.,22/May/20,Roaches Lower Tier,Bouldering,Font,England
Ascent of Man Start,V3+  *,Sent rpt,,,22/May/20,Roaches Lower Tier,Bouldering,Font,England
Ascent of Woman Start,V4+  *,Sent dnf,,"Think I've figured this out, just have no idea if the sit start is shared with Ascent of Man or not",22/May/20,Roaches Lower Tier,Bouldering,Font,England
The Undercutter,V2  **,Sent rpt,Brough_JB,,22/May/20,Roaches Lower Tier,Bouldering,Font,England
Black Nook Slab,V0  ,Sent O/S,Brough_JB,,22/May/20,Roaches Lower Tier,Bouldering,Font,England
Black Nook Arête,V0  *,Sent O/S,Brough_JB,,22/May/20,Roaches Lower Tier,Bouldering,Font,England
Classic Arête,V0  **,Sent rpt,Brough_JB,,22/May/20,Roaches Lower Tier,Bouldering,Font,England
Crab Walk Direct Start,V2  **,Sent x,,First problem at Ramshaw. Hard!,20/May/20,Ramshaw Rocks,Bouldering,Font,England
Roll Off,V2  *,Sent O/S,,,20/May/20,Ramshaw Rocks,Bouldering,Font,England
Roof Direct,V5  *,Sent β,,"Climbed direct over the roof, matched the jug and dropped off, without the starting traverse. Probably easier than 6C but guidebook is vague.",20/May/20,Ramshaw Rocks,Bouldering,Font,England
Cake,V3  *,Sent O/S,,"Cool mantel/rockover move, with a fierce last pull to get established.",20/May/20,Ramshaw Rocks,Bouldering,Font,England
Tier's End Start,V1  **,Sent O/S,,,20/May/20,Ramshaw Rocks,Bouldering,Font,England
Tierdrop ,V7  ***,Sent dnf,,Good to work out all the moves to the slot/rail in my first session. Look forward to trying for the send upon returning with bigger pads and spotters. Nice to meet Dan/Smudge and James here as well.,20/May/20,Ramshaw Rocks,Bouldering,Font,England
Communist Crack,VS 5a **,Sent,Daniel Grout,,18/May/20,The Five Clouds,Trad,British,England
Fourth Arête,V2  **,Sent x,Daniel Grout,,18/May/20,The Five Clouds,Bouldering,Font,England
Trust,V6  ***,Sent x,Daniel Grout,"Amazing problem! The antidote to modern burl and indoor training. Glad to get this in a session, seem to have maintained the slightest tekkers despite 2 months of being a vegetable.",18/May/20,The Five Clouds,Bouldering,Font,England
Slab 2,VB  *,Sent rpt,,,14/May/20,Roaches Lower Tier,Bouldering,Font,England
Blister's Sister,V0+  *,Sent rpt,,,14/May/20,Roaches Lower Tier,Bouldering,Font,England
Blister Slab,V0+  **,Sent rpt,,,14/May/20,Roaches Lower Tier,Bouldering,Font,England
Back Slab Right,V0-  *,Sent rpt,,,14/May/20,Roaches Lower Tier,Bouldering,Font,England
Left Slab,V0  *,Sent rpt,,,14/May/20,Roaches Lower Tier,Bouldering,Font,England
Ascent of Man Start,V3+  *,Sent x,,"Nice little problem, great to get back climbing on a beautiful, crisp spring morning after an agonising few months of both injury and COVID lockdown.",14/May/20,Roaches Lower Tier,Bouldering,Font,England
Idwal Squeeze,V1  ***,Sent O/S,"Pierre Oppliger, Jed Cooper, Harry Kettlewell, Joe Capewell, Alan Steele, Chris Mells, EGriffin, Steely12, Sid Sherborne, dmartin","Truly amazing and memorable addition to Dave\'s stag do. 
Did this facing both in and out, now just need to rise up to Dan\'s commendable upside down send.",15/Mar/20,Idwal Cottage Crag,Bouldering,V-grades,Wales
Sleddale Fell summit,summit  ,-,"Chris Mells, Steely12, lo22",,07/Mar/20,Sleddale Fell,Special, ,England
Selside Pike summit,summit  ,-,"Chris Mells, Steely12, lo22",,07/Mar/20,Selside Pike,Special, ,England
Tarn Crag summit,summit  ,-,"Steely12, lo22",,07/Mar/20,Tarn Crag,Special, ,England
Branstree summit,summit  ,-,"Chris Mells, Steely12, lo22",,07/Mar/20,Branstree,Special, ,England
Broken Wing,V5+  **,Sent x,JayAyBee,V.doable with the right beta! ,23/Feb/20,Roaches Upper Tier,Bouldering,Font,England
The Monodoigt,V8+  *,Sent dnf,JayAyBee,Cool. Need stronger front two on my left hand!,23/Feb/20,Roaches Upper Tier,Bouldering,Font,England
Nadin's Traverse,V6  ,Sent dnf,JayAyBee,Feels close. Good to work out some solid beta with the Chapel crew.,23/Feb/20,Roaches Upper Tier,Bouldering,Font,England
Beta Blocker,V6  *,Sent x,"Sid Sherborne, Niamh Gibson","Class, wierd climbing! Who would think to sink a heel above their head to pull on? Found it hard to pull into the undercut but it all came together when I forced my foot onto a less polished foothold. 3rd go.",22/Feb/20,Anston Stones Wood,Bouldering,Font,England
Crimps Wall,V5  ,Sent x,"Sid Sherborne, Niamh Gibson",Nice little problem with interesting gastons and thin climbing up top.,22/Feb/20,Anston Stones Wood,Bouldering,Font,England
Little big pocket,V4  ,Sent β,"Sid Sherborne, Niamh Gibson","Classic crimpy, thin face climbing.",22/Feb/20,Anston Stones Wood,Bouldering,Font,England
Weedkiller Traverse,V7  ***,Sent x,"Niamh Gibson, Sid Sherborne","Great to finally get this, V7 now the start is easier?",08/Feb/20,Raven Tor (Miller's Dale),Bouldering,Font,England
Too Hard for Mark Leach,V5  **,Sent x,,,08/Feb/20,Raven Tor (Miller's Dale),Bouldering,Font,England
Don's Crack,V1  **,Sent x,,,06/Feb/20,Roaches Upper Tier,Bouldering,Font,England
Greener Mantel,V3  *,Sent β,,,06/Feb/20,Roaches Lower Tier,Bouldering,Font,England
The Greener Traverse,V4  ***,Sent β,,"Nice problem, makes me want to get back to and finish the Stanage counterpart!",06/Feb/20,Roaches Lower Tier,Bouldering,Font,England
The Staircase,V2  *,Sent,"Charlie Henderson, EGriffin, Sid Sherborne, lo22, Steely12, Niamh Gibson",,19/Jan/20,Roaches Upper Tier,Bouldering,Font,England
Joe's Portholes,V0+  *,Sent,Sid Sherborne,,19/Jan/20,Roaches Upper Tier,Bouldering,Font,England
Joe's Arête (Brown's Arete),V3  ***,Sent rpt,"Charlie Henderson, EGriffin, Sid Sherborne, Steely12",,19/Jan/20,Roaches Upper Tier,Bouldering,Font,England
The Rippler,V3  *,Sent x,"Charlie Henderson, EGriffin, Sid Sherborne, lo22, Steely12, Niamh Gibson","Sent after much much practice, need to get better at mantel squirming. Too much limestone!",19/Jan/20,Roaches Upper Tier,Bouldering,Font,England
Sleeping with the Flowers,V5+  **,Sent x,"Sid Sherborne, Niamh Gibson","Fantastic crimps and kneebars, is this really grit?",19/Jan/20,Roaches Upper Tier,Bouldering,Font,England
Broken Wing,V5+  **,Sent dnf,Sid Sherborne,Hard and very much my anti-style - got to come back for this!,19/Jan/20,Roaches Upper Tier,Bouldering,Font,England
The Bishop's Move,V0-  *,Sent x,"EGriffin, Steely12",,19/Jan/20,Roaches Upper Tier,Bouldering,Font,England
Wing Wong,V2  **,Sent x,Sid Sherborne,,19/Jan/20,Roaches Upper Tier,Bouldering,Font,England
Long Boulder Mantel,V4+  ,Sent x,Sid Sherborne,Done from sit at V3/4? Class!,19/Jan/20,Roaches Upper Tier,Bouldering,Font,England
Lourdes,8a  ***,Lead dnf,Niki Ste,"Feel privileged to have even tried this, what an utterly amazing route! 
Had the last day of the trip on this, having harvested as much beta as possible. Started with a mediocre working go to suss it out. 1st redpoint I ended up falling off early on the crux as I hadn't dialled the kneebar just before and was too tired. 2nd and last redpoint, I got past this and fell off on the flake, after the powerful undercut moves. Amazed I got this far and lowered down beaming. Really gutted I didn't try this earlier on in the trip. Need to get back on this NOW!",10/Jan/20,Makinodromo,Sport,French,Spain
Madre Salvaje,7c  ***,Lead RP,JayAyBee,"Hardest fight so far, power endurance really lacking. AWESOME!",07/Jan/20,Desplomilandia,Sport,French,Spain
Yogur de Coco,6c  ***,Lead β,,,06/Jan/20,Desplomilandia,Sport,French,Spain
Debora Cuerpos,6b  ***,Lead β,,,06/Jan/20,Desplomilandia,Sport,French,Spain
La de Seba,6b  **,-,,Nice warm up. Certainly kept me on my toes after days of jug hauling.,05/Jan/20,Las Encantadas,Sport,French,Spain
Chorro Mundu,7a+  **,Lead β,JayAyBee,Flashed with a neat shoulder bar before the roof. Still felt way close pulling over it!,05/Jan/20,Las Encantadas,Sport,French,Spain
Anack Sunamun,7b  ***,Lead β,"Jack Gilbert, Daniel Grout, JayAyBee",Flashed. One of the best fights of my climbing career so far. Awesome!,03/Jan/20,Frontales,Sport,French,Spain
Makita Power,6c  **,Lead O/S,slucas,Nice technical climbing with an interesting crux section.,03/Jan/20,Frontales,Sport,French,Spain
Honk Down,7c  ***,Lead RP,"JayAyBee, Daniel Grout, Jack Gilbert",First 7c! Amazing! got after 2 working goes with a few good rehearsals of the crux. A good lesson in the marvels of kneepads and how to go for it on snatchy cruxes.  ,02/Jan/20,Frontales,Sport,French,Spain
Vivac Porus,7a+  **,Lead RP,JayAyBee,Went 2nd go after a disastrous flash attempt in the midday sun. Solidly pumpy and insecure climbing on really big but very slippery holds. A real fight in the end. Not sure I've ever been so f**king pumped!,02/Jan/20,Frontales,Sport,French,Spain
Little Brown Baby,7a+  ***,Lead RP,"slucas, Jack Gilbert",Retro-flashed after quite a few attempts on a trip 1.5 years prior. Awesome route and nice to get a quantitative gauge of improvement with time.,31/Dec/19,Frontales,Sport,French,Spain
Life is Sweet,6c  ***,Lead β,"JayAyBee, Niki Ste, Jack Gilbert, Daniel Grout",Flashed. Quality climbing that keeps on going (though with a couple of sneaky rests).,30/Dec/19,Makinodromo,Sport,French,Spain
Hakuna Mata,7a+  ***,Lead RP,"Jack Gilbert, Daniel Grout, Niki Ste","2nd go. Amazing route with a great sinker mono at the crux, cool thin tufas and a sustained Ce&uuml;se-esque finish.",30/Dec/19,Makinodromo,Sport,French,Spain
El Orejazo,7a  **,Lead β,,Nice to get up this after a day of sitting down and spluttering in a heap on path to flu recovery.,29/Dec/19,Frontales,Sport,French,Spain
Habana Club,7a  **,Lead RP,,"Got 2nd go after misreading the crux. Found very straightforward beta using a sideways mono - that no-one else could replicate, due to my apparently small fingers. Cool route!",29/Dec/19,Frontales,Sport,French,Spain
Nombre Propio,6a  *,Lead O/S,,,28/Dec/19,Las Encantadas,Sport,French,Spain
Crescent Arête Right-hand,V4+  ***,Sent β,JayAyBee,"Pleased to flash this after learning from other's attempts. A reassuring reminder that some knacky grit movement can be maintained alongside thuggy, fingery limestone pulling.",22/Dec/19,Stanage Plantation,Bouldering,Font,England
The Green Traverse,V6  ***,Sent dnf,JayAyBee,Nice to try this but found the crux hard (snatching front-on from the crimps whilst smearing off the horrible footholds). Wasn't sure what is in or not for the proper tick (toe hooks?). Need to come back with fresh psyche and a Green Traverse aficionado.,22/Dec/19,Stanage Plantation,Bouldering,Font,England
Baldstones Traverse,V7  **,Sent dnf,JayAyBee,First play on this in good conditions. Thanks to James for the night tour of the Newstones and Baldstones.,09/Dec/19,Newstones and Baldstones,Bouldering,Font,England
Hanging Rib (Sit Start),V4  **,Sent x,Sid Sherborne,,07/Dec/19,Almscliff,Bouldering,V-grades,England
Hanging Rib,V3  **,Sent x,Sid Sherborne,,07/Dec/19,Almscliff,Bouldering,Font,England
The Flying Arete,V4  **,Sent x,"Sid Sherborne, Niamh Gibson",Awesome and knacky!,07/Dec/19,Almscliff,Bouldering,Font,England
Roof 1,V5  **,Sent x,Sid Sherborne,"Ace grit roof wizardry, go heel-toe cams!",01/Dec/19,Over Owler Tor,Bouldering,Font,England
Wafery Flake,V3+  **,Sent x,Sid Sherborne,,01/Dec/19,Over Owler Tor,Bouldering,Font,England
Milk Cap,VB  **,Sent rpt,Sid Sherborne,Pulling over the top surprisingly hard when you can\'t see your feet!,01/Dec/19,Mother Cap and Quarry,Bouldering,Font,England
Conan the Librarian,V4+  ***,Sent x,Sid Sherborne,Awesome! Just high enough to keep you on your toes despite being quite safe.,01/Dec/19,Mother Cap and Quarry,Bouldering,Font,England
West Side Story,V8+  ***,Sent dnf,"JayAyBee, Daniel Grout",Tried this over a couple of short sessions and was getting better and better but never stuck the crux. Think I'll need good encouragement and heaps of pads to commit to the top (if/when I get past the break),10/Nov/19,Burbage West,Bouldering,Font,England
The Nose,V6  ***,Sent dnf,JayAyBee,Frustrating problem! Not sure what alternative beta I need to overcome the powerful reach up over the roof.,10/Nov/19,Burbage West,Bouldering,Font,England
Breakfast,V6  ***,Sent dnf,"JayAyBee, Daniel Grout","First time on. Getting to the penultimate move every time, feel like I just need to try this fresh and not at the end of a long day.",10/Nov/19,Burbage West,Bouldering,Font,England
Another Toadside Attraction,7c  **,Lead dnf,JayAyBee,Nice to work this with James. Hard crux followed by sustained and dropable/run-out climbing. Had a very good redpoint go and annoyingly grabbed a draw up high on a snatchy move. Must come back and redeem myself for being an unfit wimp.,27/Oct/19,Raven Tor (Miller's Dale),Sport,French,England
Sardine,7b+  ***,Lead RP,JayAyBee,"Cruxier than Tin of, rest of the route felt steadier though.",20/Oct/19,Raven Tor (Miller's Dale),Sport,French,England
Obscene Gesture,7c  *,Lead dnf,"Ted Kingsnorth, Ben Steel, JayAyBee","Had been trying this with Ben Steel for a while, once with Ted Kingsnorth and once w/ James. Probably 6 sessions up til the great wet winter of 19/20 followed by the COVID lockdown. Must finish this off when next feasible, whenever that is.",20/Oct/19,Raven Tor (Miller's Dale),Sport,French,England
Basher's Problem,V6  *,Sent x,"Sid Sherborne, JayAyBee",Left hand version. Took a while to commit fully to the last slap - dynamic movement definitely a weakness! Need to do RHS now. One of my first hard (7a) boulder problems.,13/Oct/19,Raven Tor (Miller's Dale),Bouldering,Font,England
Saul's Crack,HVS 5a ***,Lead O/S,EGriffin,Wild but secure crack climbing with a bit of burl up top.,05/Oct/19,Roaches Upper Tier,Trad,British,England
Crack and Corner,HS 4c ***,AltLd O/S,EGriffin,"Nice final moves on the top pitch, shame you have to bother with the bottom to get to it!",05/Oct/19,Roaches Upper Tier,Trad,British,England
Tin Of,7b  **,Lead RP,Ben Steel,"More sustained than Sardine, crux suited me better.",05/Oct/19,Raven Tor (Miller's Dale),Sport,French,England
Suicide Wall,HVS 5b ***,Lead rpt,"Gabbyhan, Sid Sherborne",Pumpy heaven! Steep juggy start into a flawless hand crack with some ace punchy  laybacking. One of the best HVS excursions on grit?,14/Sep/19,Cratcliffe Tor,Trad,British,England
Fern Hill,E2 5c ***,Lead G/U,Sid Sherborne,"2nd go as got a bit freaked trying to commit to the crux. Lowered down and got back on, wish I\'d just gone for it on the O/S!",14/Sep/19,Cratcliffe Tor,Trad,British,England
Egg Arête,V4  *,Sent x,Sid Sherborne,Glad to finally try this.,14/Sep/19,Cratcliffe Tor,Bouldering,Font,England
Egg Arête Left,V2  *,Sent x,Sid Sherborne,,14/Sep/19,Cratcliffe Tor,Bouldering,Font,England
Direct Start,VS 5a *,Lead,Sid Sherborne,,14/Sep/19,Cratcliffe Tor,Trad,British,England
The Lark,V5+  **,Sent x,Sid Sherborne,"Fierce, front-on pulling on small holds",14/Sep/19,Cratcliffe Tor,Bouldering,Font,England
Back to Earth,V5  ,Sent x,Sid Sherborne,"Nice, quiet, scenic venue.",08/Sep/19,Smallfield,Bouldering,Font,England
Brooks' Crack,HVS 5a ***,Lead O/S,Sid Sherborne,Ace route - all the more so with a hands-off kneebar mid-crux!,08/Sep/19,Burbage South Edge,Trad,British,England
The Drainpipe,HS 4b **,Lead O/S,Sid Sherborne,,08/Sep/19,Burbage South Edge,Trad,British,England
The Staircase,S 4a *,Solo O/S,Sid Sherborne,,08/Sep/19,Burbage South Edge,Trad,British,England
Byne's Crack,VS 4b ***,2nd O/S,Sid Sherborne,,08/Sep/19,Burbage South Edge,Trad,British,England
Prudence,HVS 5b *,Lead O/S,Sid Sherborne,,07/Sep/19,Stanage Popular,Trad,British,England
Eliminator,HVS 5b ***,2nd O/S,Sid Sherborne,,07/Sep/19,Stanage Popular,Trad,British,England
The Tippler,E1 5b ***,Lead O/S,Sid Sherborne,By the skin of my teeth! Messed up bringing my right foot over the lip and pulled through savagely - didn\'t really deserve to get to the top.,07/Sep/19,Stanage Popular,Trad,British,England
Queersville,HVS 5a ***,2nd O/S,Sid Sherborne,,07/Sep/19,Stanage Popular,Trad,British,England
Right Route,VD  ***,Solo O/S,,,??/Sep/19,Roaches Upper Tier,Trad,British,England
Pedestal Route,HVD 4a ***,Solo O/S,,,??/Sep/19,Roaches Upper Tier,Trad,British,England
Black and Tans,S 4a ***,Solo O/S,,,??/Sep/19,Roaches Upper Tier,Trad,British,England
Black Velvet,S 4a ***,Solo O/S,,,??/Sep/19,Roaches Upper Tier,Trad,British,England
Maud's Garden,HVD 3c ***,Solo O/S,,,??/Sep/19,Roaches Upper Tier,Trad,British,England
Inverted Staircase,D  ***,Solo O/S,,,??/Sep/19,Roaches Upper Tier,Trad,British,England
